"Municipality","Cases","Population","Year"
"Söderköping",0,13879,1998
"Södertälje",1,75836,1998
"Sölvesborg",0,16576,1998
"Tanum",0,12111,1998
"Tibro",0,10781,1998
"Tidaholm",0,12874,1998
"Tierp",0,19883,1998
"Timrå",0,18254,1998
"Tingsryd",0,13692,1998
"Tjörn",0,14709,1998
"Tomelilla",0,12453,1998
"Torsby",0,14142,1998
"Torsås",0,7611,1998
"Tranemo",0,12124,1998
"Tranås",0,17866,1998
"Trelleborg",0,38146,1998
"Trollhättan",0,52795,1998
"Trosa",0,10068,1998
"Tyresö",2,38046,1998
"Täby",2,60274,1998
"Töreboda",0,9828,1998
"Uddevalla",1,48969,1998
"Ulricehamn",0,22344,1998
"Umeå",5,103517,1998
"Upplands-Bro",0,20495,1998
"Upplands Väsby",0,36789,1998
"Uppsala",3,187302,1998
"Uppvidinge",0,9992,1998
"Vadstena",0,7703,1998
"Vaggeryd",0,12524,1998
"Valdemarsvik",1,8538,1998
"Vallentuna",0,24246,1998
"Vansbro",1,7476,1998
"Vara",1,16339,1998
"Varberg",3,52392,1998
"Vaxholm",0,8721,1998
"Vellinge",0,30023,1998
"Vetlanda",1,27064,1998
"Vilhelmina",0,8125,1998
"Vimmerby",0,15779,1998
"Vindeln",1,6245,1998
"Vingåker",0,9542,1998
"Vårgårda",0,10705,1998
"Vänersborg",1,36486,1998
"Vännäs",0,8574,1998
"Värmdö",0,29396,1998
"Värnamo",0,31983,1998
"Västervik",1,38359,1998
"Västerås",3,124780,1998
"Växjö",4,73698,1998
"Ydre",0,4178,1998
"Ystad",0,26058,1998
"Åmål",0,13041,1998
"Ånge",0,11497,1998
"Åre",0,9838,1998
"Årjäng",0,9826,1998
"Åsele",0,3789,1998
"Åstorp",0,12908,1998
"Åtvidaberg",0,12215,1998
"Älmhult",0,15569,1998
"Älvdalen",0,7932,1998
"Älvkarleby",0,9047,1998
"Älvsbyn",0,9101,1998
"Ängelholm",0,36921,1998
"Öckerö",1,11692,1998
"Ödeshög",0,5767,1998
"Örebro",2,122641,1998
"Örkelljunga",0,9499,1998
"Örnsköldsvik",0,56658,1998
"Östersund",1,58673,1998
"Österåker",0,33396,1998
"Östhammar",0,21921,1998
"Östra Göinge",0,14514,1998
"Överkalix",0,4366,1998
"Övertorneå",0,5868,1998
"Ale",0,25329,1999
"Alingsås",0,34963,1999
"Alvesta",0,19035,1999
"Aneby",0,6799,1999
"Arboga",0,14036,1999
"Arjeplog",0,3455,1999
"Arvidsjaur",0,7233,1999
"Arvika",0,26353,1999
"Askersund",0,11621,1999
"Avesta",0,22714,1999
"Bengtsfors",0,11032,1999
"Berg",0,8272,1999
"Bjurholm",0,2746,1999
"Bjuv",0,13702,1999
"Boden",0,28872,1999
"Bollebygd",0,7894,1999
"Bollnäs",0,27075,1999
"Borgholm",0,11319,1999
"Borlänge",1,47441,1999
"Borås",2,96342,1999
"Botkyrka",2,72153,1999
"Boxholm",0,5411,1999
"Bromölla",0,12115,1999
"Bräcke",0,7744,1999
"Burlöv",1,14683,1999
"Båstad",0,14189,1999
"Dals-Ed",0,4974,1999
"Danderyd",1,29636,1999
"Degerfors",0,10746,1999
"Dorotea",0,3364,1999
"Eda",0,8689,1999
"Ekerö",5,21943,1999
"Eksjö",0,16910,1999
"Emmaboda",0,9811,1999
"Enköping",2,36195,1999
"Eskilstuna",3,88138,1999
"Eslöv",0,28212,1999
"Essunga",0,5847,1999
"Fagersta",0,12583,1999
"Falkenberg",0,38894,1999
"Falköping",0,31331,1999
"Falun",0,54489,1999
"Filipstad",0,11893,1999
"Finspång",0,21678,1999
"Flen",0,16726,1999
"Forshaga",0,11651,1999
"Färgelanda",2,7086,1999
"Gagnef",0,10168,1999
"Gislaved",0,30408,1999
"Gnesta",0,9743,1999
"Gnosjö",0,10266,1999
"Gotland",2,57428,1999
"Grums",0,9673,1999
"Grästorp",0,5970,1999
"Gullspång",0,5974,1999
"Gällivare",1,20504,1999
"Gävle",3,90451,1999
"Göteborg",12,462470,1999
"Götene",0,13095,1999
"Habo",0,9587,1999
"Hagfors",0,14400,1999
"Hallsberg",0,15775,1999
"Hallstahammar",0,15189,1999
"Halmstad",8,84814,1999
"Hammarö",0,14141,1999
"Haninge",1,68610,1999
"Haparanda",0,10495,1999
"Heby",0,13616,1999
"Hedemora",1,16108,1999
"Helsingborg",0,116870,1999
"Herrljunga",0,9456,1999
"Hjo",0,8801,1999
"Hofors",0,10780,1999
"Huddinge",2,82870,1999
"Hudiksvall",0,37556,1999
"Hultsfred",0,15275,1999
"Hylte",1,10485,1999
"Håbo",0,17287,1999
"Hällefors",0,8095,1999
"Härjedalen",0,11594,1999
"Härnösand",0,25950,1999
"Härryda",0,29842,1999
"Hässleholm",0,48803,1999
"Höganäs",0,22658,1999
"Högsby",0,6544,1999
"Hörby",0,13773,1999
"Höör",0,13807,1999
"Jokkmokk",0,6146,1999
"Järfälla",3,60188,1999
"Jönköping",3,116344,1999
"Kalix",0,18143,1999
"Kalmar",2,59122,1999
"Karlsborg",0,7198,1999
"Karlshamn",2,30756,1999
"Karlskoga",0,31530,1999
"Karlskrona",0,60396,1999
"Karlstad",1,79985,1999
"Katrineholm",0,32527,1999
"Kil",0,11937,1999
"Kinda",0,10105,1999
"Kiruna",0,24834,1999
"Klippan",0,15660,1999
"Kramfors",1,21869,1999
"Kristianstad",0,73897,1999
"Kristinehamn",0,24731,1999
"Krokom",0,14221,1999
"Kumla",0,18932,1999
"Kungsbacka",2,64096,1999
"Kungsör",0,8155,1999
"Kungälv",0,36767,1999
"Kävlinge",1,24185,1999
"Köping",0,24915,1999
"Laholm",0,22732,1999
"Landskrona",0,37336,1999
"Laxå",0,6770,1999
"Lekeberg",0,7002,1999
"Leksand",0,15368,1999
"Lerum",0,35116,1999
"Lessebo",0,8433,1999
"Lidingö",0,40630,1999
"Lidköping",0,36891,1999
"Lilla Edet",0,12917,1999
"Lindesberg",0,23673,1999
"Linköping",2,132500,1999
"Ljungby",1,27140,1999
"Ljusdal",0,20147,1999
"Ljusnarsberg",0,5755,1999
"Lomma",0,17858,1999
"Ludvika",0,26810,1999
"Luleå",0,71251,1999
"Lund",3,98312,1999
"Lycksele",0,13224,1999
"Lysekil",0,14993,1999
"Malmö",10,257574,1999
"Malung-Sälen",1,10925,1999
"Malå",0,3723,1999
"Mariestad",1,23949,1999
"Mark",0,33024,1999
"Markaryd",0,9927,1999
"Mellerud",0,9999,1999
"Mjölby",0,25286,1999
"Mora",0,20246,1999
"Motala",1,42181,1999
"Mullsjö",0,7175,1999
"Munkedal",0,10568,1999
"Munkfors",0,4204,1999
"Mölndal",1,55558,1999
"Mönsterås",0,13275,1999
"Mörbylånga",0,13488,1999
"Nacka",3,73976,1999
"Nora",0,10420,1999
"Norberg",0,6087,1999
"Nordanstig",0,10510,1999
"Nordmaling",0,7767,1999
"Norrköping",10,122212,1999
"Norrtälje",0,52103,1999
"Norsjö",0,4804,1999
"Nybro",0,19905,1999
"Nykvarn",0,7876,1999
"Nyköping",0,49070,1999
"Nynäshamn",0,23408,1999
"Nässjö",0,29607,1999
"Ockelbo",0,6222,1999
"Olofström",0,14241,1999
"Orsa",0,7040,1999
"Orust",0,15056,1999
"Osby",0,12925,1999
"Oskarshamn",0,26504,1999
"Ovanåker",0,12623,1999
"Oxelösund",0,10973,1999
"Pajala",0,7647,1999
"Partille",0,33000,1999
"Perstorp",0,6808,1999
"Piteå",1,40404,1999
"Ragunda",0,6489,1999
"Robertsfors",0,7355,1999
"Ronneby",1,28778,1999
"Rättvik",0,10897,1999
"Sala",1,21530,1999
"Salem",0,13474,1999
"Sandviken",1,37511,1999
"Sigtuna",0,34766,1999
"Simrishamn",0,19511,1999
"Sjöbo",0,16542,1999
"Skara",0,18341,1999
"Skellefteå",0,73000,1999
"Skinnskatteberg",0,4859,1999
"Skurup",0,13638,1999
"Skövde",1,49178,1999
"Smedjebacken",0,11873,1999
"Sollefteå",0,22400,1999
"Sollentuna",0,57610,1999
"Solna",0,55988,1999
"Sorsele",0,3244,1999
"Sotenäs",0,9614,1999
"Staffanstorp",0,19527,1999
"Stenungsund",0,20277,1999
"Stockholm",12,743703,1999
"Storfors",0,4807,1999
"Storuman",0,7071,1999
"Strängnäs",1,29271,1999
"Strömstad",1,11026,1999
"Strömsund",0,14244,1999
"Sundbyberg",1,33387,1999
