"Municipality","Cases","Population","Year"
"Hallsberg",0,15627,2001
"Hallstahammar",0,15052,2001
"Halmstad",3,85742,2001
"Hammarö",0,14121,2001
"Haninge",1,70432,2001
"Haparanda",0,10384,2001
"Heby",0,13739,2001
"Hedemora",0,15749,2001
"Helsingborg",1,118512,2001
"Herrljunga",0,9471,2001
"Hjo",0,8827,2001
"Hofors",0,10501,2001
"Huddinge",4,85700,2001
"Hudiksvall",2,37288,2001
"Hultsfred",0,14977,2001
"Hylte",0,10493,2001
"Håbo",0,17648,2001
"Hällefors",0,7879,2001
"Härjedalen",0,11327,2001
"Härnösand",0,25227,2001
"Härryda",0,30547,2001
"Hässleholm",0,48519,2001
"Höganäs",1,22733,2001
"Högsby",0,6349,2001
"Hörby",0,13774,2001
"Höör",0,14088,2001
"Jokkmokk",1,5935,2001
"Järfälla",4,61132,2001
"Jönköping",2,117896,2001
"Kalix",0,17847,2001
"Kalmar",2,59787,2001
"Karlsborg",0,7038,2001
"Karlshamn",0,30648,2001
"Karlskoga",0,30832,2001
"Karlskrona",0,60596,2001
"Karlstad",2,80748,2001
"Katrineholm",0,32391,2001
"Kil",0,11924,2001
"Kinda",0,10096,2001
"Kiruna",0,23849,2001
"Klippan",1,15488,2001
"Kramfors",0,20951,2001
"Kristianstad",0,74518,2001
"Kristinehamn",0,23969,2001
"Krokom",1,14047,2001
"Kumla",0,18935,2001
"Kungsbacka",3,65877,2001
"Kungsör",0,8185,2001
"Kungälv",1,37601,2001
"Kävlinge",0,24958,2001
"Köping",2,24750,2001
"Laholm",0,22749,2001
"Landskrona",0,38297,2001
"Laxå",0,6577,2001
"Lekeberg",0,7033,2001
"Leksand",0,15313,2001
"Lerum",1,35322,2001
"Lessebo",0,8386,2001
"Lidingö",0,40895,2001
"Lidköping",0,36808,2001
"Lilla Edet",0,12912,2001
"Lindesberg",0,23473,2001
"Linköping",3,134039,2001
"Ljungby",0,27055,2001
"Ljusdal",0,19858,2001
"Ljusnarsberg",0,5536,2001
"Lomma",0,18129,2001
"Ludvika",0,26131,2001
"Luleå",2,71952,2001
"Lund",2,99622,2001
"Lycksele",0,12988,2001
"Lysekil",0,14792,2001
"Malmö",8,262397,2001
"Malung-Sälen",0,10640,2001
"Malå",0,3579,2001
"Mariestad",0,23725,2001
"Mark",0,32954,2001
"Markaryd",0,9716,2001
"Mellerud",0,9781,2001
"Mjölby",1,25211,2001
"Mora",0,20014,2001
"Motala",1,42168,2001
"Mullsjö",1,7118,2001
"Munkedal",0,10504,2001
"Munkfors",0,4138,2001
"Mölndal",0,56743,2001
"Mönsterås",0,13240,2001
"Mörbylånga",0,13410,2001
"Nacka",0,75741,2001
"Nora",0,10456,2001
"Norberg",0,5928,2001
"Nordanstig",0,10097,2001
"Nordmaling",0,7660,2001
"Norrköping",5,122896,2001
"Norrtälje",0,53286,2001
"Norsjö",0,4642,2001
"Nybro",1,19782,2001
"Nykvarn",0,8090,2001
"Nyköping",1,49273,2001
"Nynäshamn",0,24332,2001
"Nässjö",1,29360,2001
"Ockelbo",1,6137,2001
"Olofström",0,13803,2001
"Orsa",0,6979,2001
"Orust",0,15087,2001
"Osby",0,12735,2001
"Oskarshamn",0,26213,2001
"Ovanåker",0,12333,2001
"Oxelösund",0,10983,2001
"Pajala",0,7319,2001
"Partille",2,33142,2001
"Perstorp",1,6697,2001
"Piteå",0,40451,2001
"Ragunda",0,6148,2001
"Robertsfors",0,7274,2001
"Ronneby",0,28574,2001
"Rättvik",0,10856,2001
"Sala",0,21535,2001
"Salem",0,13839,2001
"Sandviken",1,36805,2001
"Sigtuna",0,35518,2001
"Simrishamn",0,19381,2001
"Sjöbo",0,16781,2001
"Skara",0,18324,2001
"Skellefteå",1,72035,2001
"Skinnskatteberg",0,4837,2001
"Skurup",0,13873,2001
"Skövde",1,49083,2001
"Smedjebacken",1,11357,2001
"Sollefteå",1,21624,2001
"Sollentuna",1,58266,2001
"Solna",2,56953,2001
"Sorsele",0,3132,2001
"Sotenäs",0,9584,2001
"Staffanstorp",0,19967,2001
"Stenungsund",0,21175,2001
"Stockholm",6,754948,2001
"Storfors",0,4643,2001
"Storuman",0,6788,2001
"Strängnäs",3,29766,2001
"Strömstad",0,11221,2001
"Strömsund",0,13643,2001
"Sundbyberg",0,33967,2001
"Sundsvall",1,93125,2001
"Sunne",0,13551,2001
"Surahammar",0,10246,2001
"Svalöv",1,12553,2001
"Svedala",0,17938,2001
"Svenljunga",0,10536,2001
"Säffle",0,16428,2001
"Säter",0,11157,2001
"Sävsjö",0,10986,2001
"Söderhamn",0,27464,2001
"Söderköping",1,13932,2001
"Södertälje",5,78794,2001
"Sölvesborg",0,16396,2001
"Tanum",0,12116,2001
"Tibro",0,10627,2001
"Tidaholm",0,12620,2001
"Tierp",0,19891,2001
"Timrå",0,17790,2001
"Tingsryd",0,13258,2001
"Tjörn",0,14797,2001
"Tomelilla",0,12432,2001
"Torsby",0,13552,2001
"Torsås",0,7361,2001
"Tranemo",0,12016,2001
"Tranås",1,17644,2001
"Trelleborg",1,38576,2001
"Trollhättan",1,52823,2001
"Trosa",1,10357,2001
"Tyresö",0,39434,2001
"Täby",1,60229,2001
"Töreboda",0,9490,2001
"Uddevalla",0,49255,2001
"Ulricehamn",0,22257,2001
"Umeå",3,105006,2001
"Upplands-Bro",0,21076,2001
"Upplands Väsby",2,37524,2001
"Uppsala",1,191110,2001
"Uppvidinge",1,9686,2001
"Vadstena",0,7628,2001
"Vaggeryd",0,12655,2001
"Valdemarsvik",0,8224,2001
"Vallentuna",1,25643,2001
"Vansbro",0,7219,2001
"Vara",0,16050,2001
"Varberg",0,53072,2001
"Vaxholm",0,9470,2001
"Vellinge",0,30782,2001
"Vetlanda",0,26522,2001
"Vilhelmina",0,7730,2001
"Vimmerby",0,15644,2001
"Vindeln",0,6039,2001
"Vingåker",0,9156,2001
"Vårgårda",0,10677,2001
"Vänersborg",0,36795,2001
"Vännäs",0,8449,2001
"Värmdö",0,32096,2001
"Värnamo",0,32275,2001
"Västervik",1,36956,2001
"Västerås",3,127799,2001
"Växjö",7,74082,2001
"Ydre",0,4048,2001
"Ystad",0,26235,2001
"Åmål",0,12770,2001
"Ånge",0,10997,2001
"Åre",0,9607,2001
"Årjäng",0,9803,2001
"Åsele",0,3563,2001
"Åstorp",1,12930,2001
"Åtvidaberg",0,11894,2001
"Älmhult",0,15442,2001
"Älvdalen",0,7652,2001
"Älvkarleby",0,8955,2001
"Älvsbyn",0,8892,2001
"Ängelholm",1,37505,2001
"Öckerö",1,11877,2001
"Ödeshög",0,5621,2001
"Örebro",2,124873,2001
"Örkelljunga",0,9414,2001
"Örnsköldsvik",1,55364,2001
"Östersund",0,58361,2001
"Österåker",1,35108,2001
"Östhammar",0,21842,2001
"Östra Göinge",0,14108,2001
"Överkalix",0,4118,2001
"Övertorneå",0,5484,2001
"Ale",0,25835,2002
"Alingsås",0,35327,2002
"Alvesta",0,18930,2002
"Aneby",1,6631,2002
"Arboga",0,13574,2002
"Arjeplog",0,3291,2002
"Arvidsjaur",0,7017,2002
"Arvika",0,26262,2002
"Askersund",0,11449,2002
"Avesta",0,22296,2002
"Bengtsfors",0,10516,2002
"Berg",0,7949,2002
"Bjurholm",0,2608,2002
"Bjuv",2,13674,2002
"Boden",0,28268,2002
"Bollebygd",0,7831,2002
"Bollnäs",0,26210,2002
"Borgholm",0,11162,2002
"Borlänge",0,47049,2002
"Borås",1,98150,2002
"Botkyrka",3,75216,2002
"Boxholm",1,5291,2002
"Bromölla",0,12022,2002
"Bräcke",0,7406,2002
"Burlöv",0,15326,2002
"Båstad",0,14009,2002
"Dals-Ed",0,5044,2002
"Danderyd",2,29755,2002
"Degerfors",1,10306,2002
"Dorotea",0,3247,2002
"Eda",0,8670,2002
"Ekerö",4,22936,2002
"Eksjö",0,16761,2002
"Emmaboda",0,9690,2002
"Enköping",1,37647,2002
"Eskilstuna",8,90089,2002
"Eslöv",0,28985,2002
"Essunga",0,5757,2002
"Fagersta",0,12325,2002
"Falkenberg",0,38896,2002
"Falköping",0,30896,2002
"Falun",0,54841,2002
"Filipstad",1,11178,2002
"Finspång",3,21208,2002
"Flen",1,16520,2002
"Forshaga",1,11474,2002
"Färgelanda",2,6939,2002
"Gagnef",0,10008,2002
"Gislaved",1,29976,2002
"Gnesta",0,9813,2002
"Gnosjö",0,9997,2002
"Gotland",0,57381,2002
"Grums",0,9312,2002
"Grästorp",2,5848,2002
"Gullspång",0,5765,2002
"Gällivare",1,19420,2002
"Gävle",1,91276,2002
"Göteborg",15,474921,2002
"Götene",1,12983,2002
"Habo",0,9584,2002
"Hagfors",0,13797,2002
"Hallsberg",0,15651,2002
"Hallstahammar",0,14986,2002
"Halmstad",1,86585,2002
"Hammarö",0,14237,2002
"Haninge",1,70902,2002
"Haparanda",0,10334,2002
"Heby",0,13725,2002
"Hedemora",0,15584,2002
"Helsingborg",1,119406,2002
"Herrljunga",0,9486,2002
"Hjo",0,8845,2002
"Hofors",0,10372,2002
"Huddinge",5,86457,2002
"Hudiksvall",1,37048,2002
"Hultsfred",0,14893,2002
"Hylte",0,10401,2002
"Håbo",0,17864,2002
"Hällefors",0,7794,2002
"Härjedalen",0,11289,2002
"Härnösand",1,25193,2002
"Härryda",0,30844,2002
"Hässleholm",0,48536,2002
"Höganäs",0,22790,2002
"Högsby",0,6300,2002
"Hörby",0,13949,2002
"Höör",0,14169,2002
"Jokkmokk",0,5782,2002
"Järfälla",1,61290,2002
"Jönköping",4,118581,2002
"Kalix",0,17805,2002
"Kalmar",0,60066,2002
"Karlsborg",0,6967,2002
"Karlshamn",0,30739,2002
"Karlskoga",1,30600,2002
"Karlskrona",0,60676,2002
"Karlstad",1,80934,2002
"Katrineholm",0,32381,2002
"Kil",0,11892,2002
"Kinda",0,10014,2002
"Kiruna",3,23555,2002
"Klippan",0,15745,2002
"Kramfors",0,20711,2002
"Kristianstad",0,74951,2002
"Kristinehamn",1,23963,2002
"Krokom",0,14005,2002
"Kumla",0,19105,2002
"Kungsbacka",0,66573,2002
"Kungsör",0,8222,2002
"Kungälv",1,37912,2002
"Kävlinge",0,25191,2002
"Köping",0,24647,2002
"Laholm",0,22750,2002
"Landskrona",0,38475,2002
"Laxå",0,6471,2002
"Lekeberg",0,7027,2002
"Leksand",0,15301,2002
"Lerum",1,35558,2002
"Lessebo",0,8255,2002
"Lidingö",0,41192,2002
"Lidköping",0,36941,2002
"Lilla Edet",0,13010,2002
"Lindesberg",0,23492,2002
"Linköping",0,135066,2002
"Ljungby",0,26943,2002
"Ljusdal",0,19776,2002
"Ljusnarsberg",0,5482,2002
"Lomma",0,18167,2002
"Ludvika",0,25975,2002
"Luleå",2,72139,2002
"Lund",0,100402,2002
"Lycksele",0,12884,2002
"Lysekil",0,14801,2002
"Malmö",11,265481,2002
"Malung-Sälen",0,10593,2002
"Malå",0,3553,2002
"Mariestad",1,23743,2002
"Mark",0,33015,2002
"Markaryd",1,9615,2002
"Mellerud",0,9807,2002
"Mjölby",1,25153,2002
"Mora",1,20024,2002
"Motala",0,42078,2002
"Mullsjö",0,7124,2002
"Munkedal",0,10434,2002
"Munkfors",0,4086,2002
"Mölndal",0,57079,2002
"Mönsterås",0,13220,2002
"Mörbylånga",0,13430,2002
"Nacka",0,76624,2002
"Nora",0,10515,2002
"Norberg",0,5876,2002
"Nordanstig",0,10021,2002
"Nordmaling",0,7573,2002
"Norrköping",3,123303,2002
"Norrtälje",1,53702,2002
"Norsjö",0,4541,2002
"Nybro",0,19871,2002
"Nykvarn",0,8204,2002
"Nyköping",0,49310,2002
"Nynäshamn",1,24528,2002
"Nässjö",0,29341,2002
"Ockelbo",0,6101,2002
"Olofström",0,13637,2002
"Orsa",0,7015,2002
"Orust",0,15113,2002
"Osby",0,12637,2002
"Oskarshamn",0,26161,2002
"Ovanåker",0,12193,2002
"Oxelösund",0,11183,2002
"Pajala",0,7206,2002
"Partille",0,33088,2002
"Perstorp",0,6789,2002
"Piteå",0,40531,2002
"Ragunda",0,6079,2002
"Robertsfors",1,7168,2002
"Ronneby",0,28472,2002
"Rättvik",0,10898,2002
"Sala",0,21663,2002
"Salem",0,13875,2002
"Sandviken",0,36765,2002
"Sigtuna",0,35771,2002
"Simrishamn",1,19406,2002
"Sjöbo",0,17027,2002
"Skara",0,18311,2002
"Skellefteå",0,71813,2002
"Skinnskatteberg",0,4785,2002
"Skurup",0,13949,2002
"Skövde",0,49405,2002
"Smedjebacken",0,11157,2002
"Sollefteå",1,21384,2002
"Sollentuna",2,58515,2002
"Solna",0,57585,2002
"Sorsele",0,3046,2002
"Sotenäs",0,9467,2002
"Staffanstorp",0,20110,2002
"Stenungsund",0,21755,2002
"Stockholm",5,758148,2002
"Storfors",0,4605,2002
"Storuman",0,6679,2002
"Strängnäs",1,30015,2002
"Strömstad",0,11218,2002
"Strömsund",0,13371,2002
"Sundbyberg",0,33797,2002
"Sundsvall",0,93252,2002
"Sunne",0,13573,2002
"Surahammar",0,10207,2002
"Svalöv",0,12705,2002
"Svedala",0,18151,2002
"Svenljunga",0,10529,2002
"Säffle",0,16289,2002
"Säter",0,11043,2002
"Sävsjö",0,10975,2002
"Söderhamn",1,27250,2002
"Söderköping",0,14009,2002
"Södertälje",0,79613,2002
"Sölvesborg",0,16351,2002
"Tanum",0,12210,2002
"Tibro",0,10624,2002
"Tidaholm",0,12585,2002
"Tierp",0,20088,2002
"Timrå",0,17784,2002
"Tingsryd",0,13175,2002
"Tjörn",0,14826,2002
"Tomelilla",0,12447,2002
"Torsby",0,13404,2002
"Torsås",0,7293,2002
"Tranemo",0,11988,2002
"Tranås",0,17718,2002
"Trelleborg",0,38759,2002
"Trollhättan",3,52937,2002
"Trosa",0,10514,2002
"Tyresö",0,39720,2002
"Täby",0,60198,2002
"Töreboda",0,9426,2002
"Uddevalla",0,49683,2002
"Ulricehamn",0,22299,2002
"Umeå",0,106525,2002
"Upplands-Bro",0,21162,2002
"Upplands Väsby",1,37444,2002
"Uppsala",2,179673,2002
"Uppvidinge",0,9580,2002
"Vadstena",0,7629,2002
"Vaggeryd",1,12603,2002
"Valdemarsvik",0,8230,2002
"Vallentuna",3,25905,2002
"Vansbro",0,7235,2002
"Vara",1,16009,2002
"Varberg",0,53346,2002
"Vaxholm",1,9631,2002
"Vellinge",0,31087,2002
"Vetlanda",0,26428,2002
"Vilhelmina",0,7655,2002
"Vimmerby",0,15628,2002
"Vindeln",0,5960,2002
"Vingåker",0,9181,2002
"Vårgårda",0,10668,2002
"Vänersborg",1,37025,2002
"Vännäs",0,8479,2002
"Värmdö",0,32664,2002
"Värnamo",1,32252,2002
"Västervik",0,36913,2002
"Västerås",1,128902,2002
"Växjö",6,75036,2002
"Ydre",0,4004,2002
"Ystad",0,26383,2002
"Åmål",0,12829,2002
"Ånge",0,10948,2002
"Åre",0,9692,2002
"Årjäng",0,9743,2002
"Åsele",0,3499,2002
"Åstorp",0,13150,2002
"Åtvidaberg",0,11887,2002
"Älmhult",0,15444,2002
"Älvdalen",0,7617,2002
"Älvkarleby",0,8970,2002
"Älvsbyn",0,8835,2002
"Ängelholm",1,37706,2002
"Öckerö",1,11981,2002
"Ödeshög",0,5566,2002
"Örebro",3,125520,2002
"Örkelljunga",0,9419,2002
"Örnsköldsvik",0,55047,2002
"Östersund",1,58156,2002
"Österåker",1,35633,2002
"Östhammar",1,21827,2002
"Östra Göinge",0,14087,2002
"Överkalix",0,4058,2002
"Övertorneå",0,5391,2002
"Ale",1,25993,2003
"Alingsås",0,35530,2003
"Alvesta",0,18879,2003
"Aneby",0,6666,2003
"Arboga",2,13514,2003
"Arjeplog",0,3259,2003
"Arvidsjaur",0,6948,2003
"Arvika",0,26302,2003
"Askersund",0,11539,2003
"Avesta",0,22249,2003
"Bengtsfors",0,10436,2003
"Berg",0,7865,2003
"Bjurholm",0,2575,2003
"Bjuv",1,13810,2003
"Boden",1,28214,2003
"Bollebygd",0,7891,2003
"Bollnäs",0,26213,2003
"Borgholm",0,11147,2003
"Borlänge",1,46919,2003
"Borås",0,98505,2003
"Botkyrka",4,75432,2003
"Boxholm",0,5308,2003
"Bromölla",0,11994,2003
"Bräcke",0,7359,2003
"Burlöv",0,15257,2003
"Båstad",0,14088,2003
"Dals-Ed",0,5014,2003
"Danderyd",1,29884,2003
"Degerfors",0,10181,2003
"Dorotea",0,3226,2003
"Eda",0,8662,2003
"Ekerö",0,23311,2003
"Eksjö",0,16656,2003
"Emmaboda",0,9659,2003
"Enköping",0,38005,2003
"Eskilstuna",5,90694,2003
"Eslöv",0,29400,2003
"Essunga",0,5736,2003
"Fagersta",0,12334,2003
"Falkenberg",0,39145,2003
"Falköping",1,30981,2003
"Falun",0,55010,2003
"Filipstad",0,11121,2003
"Finspång",0,21052,2003
"Flen",1,16629,2003
"Forshaga",0,11452,2003
"Färgelanda",0,6841,2003
"Gagnef",0,10059,2003
"Gislaved",0,29956,2003
"Gnesta",0,10002,2003
"Gnosjö",0,9926,2003
"Gotland",0,57535,2003
"Grums",0,9379,2003
"Grästorp",0,5835,2003
"Gullspång",0,5726,2003
"Gällivare",2,19251,2003
"Gävle",0,91701,2003
"Göteborg",16,478055,2003
"Götene",1,12992,2003
"Habo",0,9568,2003
"Hagfors",2,13648,2003
"Hallsberg",0,15589,2003
"Hallstahammar",1,15039,2003
"Halmstad",3,87372,2003
"Hammarö",0,14307,2003
"Haninge",2,71377,2003
"Haparanda",0,10346,2003
"Heby",1,13711,2003
"Hedemora",0,15555,2003
"Helsingborg",1,120154,2003
"Herrljunga",1,9440,2003
"Hjo",0,8844,2003
"Hofors",0,10338,2003
"Huddinge",3,87121,2003
"Hudiksvall",0,37057,2003
"Hultsfred",0,14739,2003
"Hylte",0,10377,2003
"Håbo",0,18115,2003
"Hällefors",0,7712,2003
"Härjedalen",0,11065,2003
"Härnösand",0,25272,2003
"Härryda",0,31208,2003
"Hässleholm",0,48787,2003
"Höganäs",0,23003,2003
"Högsby",0,6348,2003
"Hörby",0,14051,2003
"Höör",0,14278,2003
"Jokkmokk",0,5633,2003
"Järfälla",7,61473,2003
"Jönköping",3,119340,2003
"Kalix",0,17702,2003
"Kalmar",1,60415,2003
"Karlsborg",0,6923,2003
"Karlshamn",0,30779,2003
"Karlskoga",0,30532,2003
"Karlskrona",1,60857,2003
"Karlstad",1,81343,2003
"Katrineholm",0,32418,2003
"Kil",1,11891,2003
"Kinda",0,9981,2003
"Kiruna",0,23407,2003
"Klippan",0,15963,2003
"Knivsta",1,12821,2003
"Kramfors",0,20508,2003
"Kristianstad",0,75294,2003
"Kristinehamn",1,23946,2003
"Krokom",0,14088,2003
"Kumla",0,19279,2003
"Kungsbacka",0,67653,2003
"Kungsör",0,8235,2003
"Kungälv",1,38154,2003
"Kävlinge",1,25539,2003
"Köping",0,24585,2003
"Laholm",0,22883,2003
"Landskrona",1,38658,2003
"Laxå",0,6366,2003
"Lekeberg",0,7040,2003
"Leksand",0,15419,2003
"Lerum",0,35890,2003
"Lessebo",0,8227,2003
"Lidingö",1,41194,2003
"Lidköping",0,37125,2003
"Lilla Edet",1,12983,2003
"Lindesberg",1,23442,2003
"Linköping",3,136231,2003
"Ljungby",0,26897,2003
"Ljusdal",1,19771,2003
"Ljusnarsberg",0,5415,2003
"Lomma",0,18311,2003
"Ludvika",0,26011,2003
"Luleå",3,72237,2003
"Lund",0,100995,2003
"Lycksele",0,12820,2003
"Lysekil",0,14798,2003
"Malmö",17,267171,2003
"Malung-Sälen",0,10538,2003
"Malå",1,3498,2003
"Mariestad",0,23847,2003
"Mark",1,33218,2003
"Markaryd",0,9594,2003
"Mellerud",0,9792,2003
"Mjölby",0,25191,2003
"Mora",1,20093,2003
"Motala",0,42015,2003
"Mullsjö",1,7129,2003
"Munkedal",0,10405,2003
"Munkfors",0,4075,2003
"Mölndal",0,57523,2003
"Mönsterås",0,13256,2003
"Mörbylånga",0,13481,2003
"Nacka",1,77470,2003
"Nora",1,10552,2003
"Norberg",0,5930,2003
"Nordanstig",0,9971,2003
"Nordmaling",0,7616,2003
"Norrköping",0,123971,2003
"Norrtälje",1,54021,2003
"Norsjö",0,4478,2003
"Nybro",0,19968,2003
"Nykvarn",0,8269,2003
"Nyköping",1,49382,2003
"Nynäshamn",1,24587,2003
"Nässjö",0,29337,2003
"Ockelbo",0,5991,2003
"Olofström",0,13541,2003
"Orsa",0,7053,2003
"Orust",0,15160,2003
"Osby",0,12707,2003
"Oskarshamn",1,26253,2003
"Ovanåker",0,12051,2003
"Oxelösund",0,11299,2003
"Pajala",0,7053,2003
"Partille",1,33192,2003
"Perstorp",0,6805,2003
"Piteå",0,40662,2003
"Ragunda",0,5948,2003
"Robertsfors",0,7082,2003
"Ronneby",0,28287,2003
"Rättvik",0,10827,2003
"Sala",1,21742,2003
"Salem",0,14057,2003
"Sandviken",0,36817,2003
"Sigtuna",3,36028,2003
"Simrishamn",0,19499,2003
"Sjöbo",1,17199,2003
"Skara",0,18360,2003
"Skellefteå",0,71772,2003
"Skinnskatteberg",0,4857,2003
"Skurup",0,14099,2003
"Skövde",1,49741,2003
"Smedjebacken",0,11012,2003
"Sollefteå",0,21317,2003
"Sollentuna",3,58884,2003
"Solna",0,57994,2003
"Sorsele",0,2981,2003
"Sotenäs",0,9359,2003
"Staffanstorp",2,20238,2003
"Stenungsund",0,22291,2003
"Stockholm",8,761721,2003
"Storfors",0,4559,2003
"Storuman",0,6595,2003
"Strängnäs",0,30212,2003
"Strömstad",0,11233,2003
"Strömsund",0,13267,2003
"Sundbyberg",0,33738,2003
"Sundsvall",1,93307,2003
"Sunne",0,13586,2003
"Surahammar",1,10200,2003
"Svalöv",0,12833,2003
"Svedala",0,18269,2003
"Svenljunga",0,10445,2003
"Säffle",0,16244,2003
"Säter",0,11041,2003
"Sävsjö",1,10968,2003
"Söderhamn",0,26956,2003
"Söderköping",0,14082,2003
"Södertälje",2,80049,2003
"Sölvesborg",0,16425,2003
"Tanum",0,12288,2003
"Tibro",0,10640,2003
"Tidaholm",0,12575,2003
"Tierp",0,20116,2003
"Timrå",0,17854,2003
"Tingsryd",0,13013,2003
"Tjörn",0,14891,2003
"Tomelilla",0,12515,2003
"Torsby",0,13311,2003
"Torsås",0,7231,2003
"Tranemo",0,11887,2003
"Tranås",0,17709,2003
"Trelleborg",4,39110,2003
"Trollhättan",0,52920,2003
"Trosa",0,10565,2003
"Tyresö",0,40097,2003
"Täby",0,60168,2003
"Töreboda",0,9412,2003
"Uddevalla",1,49871,2003
"Ulricehamn",0,22319,2003
"Umeå",8,107917,2003
"Upplands-Bro",0,21252,2003
"Upplands Väsby",0,37397,2003
"Uppsala",1,180669,2003
"Uppvidinge",0,9553,2003
"Vadstena",0,7582,2003
"Vaggeryd",0,12656,2003
"Valdemarsvik",1,8195,2003
"Vallentuna",3,26306,2003
"Vansbro",0,7164,2003
"Vara",0,15995,2003
"Varberg",0,53892,2003
"Vaxholm",0,9725,2003
"Vellinge",0,31300,2003
"Vetlanda",0,26398,2003
"Vilhelmina",0,7588,2003
"Vimmerby",0,15621,2003
"Vindeln",0,5885,2003
"Vingåker",0,9179,2003
"Vårgårda",0,10692,2003
"Vänersborg",1,37101,2003
"Vännäs",0,8513,2003
"Värmdö",1,33134,2003
"Värnamo",0,32350,2003
"Västervik",0,36768,2003
"Västerås",0,129987,2003
"Växjö",3,75848,2003
"Ydre",0,3943,2003
"Ystad",1,26655,2003
"Åmål",0,12854,2003
"Ånge",0,10897,2003
"Åre",0,9692,2003
"Årjäng",0,9737,2003
"Åsele",0,3410,2003
"Åstorp",0,13326,2003
"Åtvidaberg",0,11818,2003
"Älmhult",1,15437,2003
"Älvdalen",0,7570,2003
"Älvkarleby",0,9028,2003
"Älvsbyn",0,8838,2003
"Ängelholm",1,37859,2003
"Öckerö",1,12081,2003
"Ödeshög",0,5528,2003
"Örebro",2,126288,2003
"Örkelljunga",0,9483,2003
"Örnsköldsvik",0,54950,2003
"Östersund",1,58361,2003
"Österåker",0,36183,2003
"Östhammar",0,21741,2003
"Östra Göinge",0,14047,2003
"Överkalix",0,3993,2003
"Övertorneå",0,5331,2003
"Ale",4,26288,2004
"Alingsås",0,35761,2004
"Alvesta",1,18865,2004
"Aneby",0,6624,2004
"Arboga",0,13406,2004
"Arjeplog",0,3224,2004
"Arvidsjaur",0,6894,2004
"Arvika",0,26275,2004
"Askersund",0,11477,2004
"Avesta",1,22102,2004
"Bengtsfors",0,10335,2004
"Berg",0,7779,2004
"Bjurholm",0,2588,2004
"Bjuv",0,13892,2004
"Boden",0,28277,2004
"Bollebygd",0,7973,2004
"Bollnäs",0,26249,2004
"Borgholm",0,11133,2004
"Borlänge",2,46988,2004
"Borås",0,98886,2004
"Botkyrka",1,75830,2004
"Boxholm",0,5287,2004
"Bromölla",0,12080,2004
"Bräcke",0,7282,2004
"Burlöv",0,15295,2004
"Båstad",0,14022,2004
"Dals-Ed",0,4941,2004
"Danderyd",0,30100,2004
"Degerfors",0,10106,2004
"Dorotea",0,3156,2004
"Eda",0,8646,2004
"Ekerö",0,23594,2004
"Eksjö",0,16571,2004
"Emmaboda",0,9643,2004
"Enköping",0,38211,2004
"Eskilstuna",4,91168,2004
"Eslöv",0,29740,2004
"Essunga",0,5750,2004
"Fagersta",0,12231,2004
"Falkenberg",0,39438,2004
"Falköping",0,31148,2004
"Falun",0,54994,2004
"Filipstad",1,11081,2004
"Finspång",0,20993,2004
"Flen",0,16534,2004
"Forshaga",0,11460,2004
"Färgelanda",0,6886,2004
"Gagnef",0,10091,2004
"Gislaved",0,29750,2004
"Gnesta",1,9935,2004
"Gnosjö",0,9810,2004
"Gotland",0,57661,2004
"Grums",0,9423,2004
"Grästorp",0,5794,2004
"Gullspång",0,5653,2004
"Gällivare",3,19204,2004
"Gävle",0,92081,2004
"Göteborg",17,481410,2004
"Götene",0,12950,2004
"Habo",0,9758,2004
"Hagfors",0,13496,2004
"Hallsberg",0,15401,2004
"Hallstahammar",0,15038,2004
"Halmstad",1,87929,2004
"Hammarö",0,14390,2004
"Haninge",1,71355,2004
"Haparanda",1,10208,2004
"Heby",0,13771,2004
"Hedemora",1,15506,2004
"Helsingborg",8,121179,2004
"Herrljunga",0,9417,2004
"Hjo",0,8822,2004
"Hofors",0,10237,2004
"Huddinge",0,87681,2004
"Hudiksvall",0,36970,2004
"Hultsfred",0,14591,2004
"Hylte",0,10432,2004
"Håbo",0,18378,2004
"Hällefors",0,7688,2004
"Härjedalen",0,10951,2004
"Härnösand",0,25273,2004
"Härryda",0,31676,2004
"Hässleholm",4,48945,2004
"Höganäs",2,23135,2004
"Högsby",0,6244,2004
"Hörby",0,14216,2004
"Höör",0,14520,2004
"Jokkmokk",0,5599,2004
"Järfälla",4,61564,2004
"Jönköping",2,119927,2004
"Kalix",1,17653,2004
"Kalmar",1,60649,2004
"Karlsborg",0,6905,2004
"Karlshamn",0,30847,2004
"Karlskoga",0,30343,2004
"Karlskrona",1,61137,2004
"Karlstad",0,81768,2004
"Katrineholm",0,32258,2004
"Kil",0,11844,2004
"Kinda",0,9953,2004
"Kiruna",0,23254,2004
"Klippan",1,15998,2004
"Knivsta",0,13059,2004
"Kramfors",0,20383,2004
"Kristianstad",2,75592,2004
"Kristinehamn",0,23990,2004
"Krokom",0,14126,2004
"Kumla",0,19383,2004
"Kungsbacka",1,68696,2004
"Kungsör",0,8287,2004
"Kungälv",0,38257,2004
"Kävlinge",0,26024,2004
"Köping",2,24677,2004
"Laholm",0,22955,2004
"Landskrona",0,39039,2004
"Laxå",0,6267,2004
"Lekeberg",0,7061,2004
"Leksand",0,15504,2004
"Lerum",1,36224,2004
"Lessebo",1,8198,2004
"Lidingö",0,41407,2004
"Lidköping",0,37241,2004
