"Municipality" "Cases" "Population" "Year"
"733" "Norrtälje" 0 52611 2000
"734" "Norsjö" 0 4689 2000
"735" "Nybro" 0 19785 2000
"736" "Nykvarn" 0 8052 2000
"737" "Nyköping" 0 49063 2000
"738" "Nynäshamn" 2 23965 2000
"739" "Nässjö" 0 29495 2000
"740" "Ockelbo" 0 6189 2000
"741" "Olofström" 0 14005 2000
"742" "Orsa" 0 6986 2000
"743" "Orust" 0 15023 2000
"744" "Osby" 1 12742 2000
"745" "Oskarshamn" 0 26349 2000
"746" "Ovanåker" 0 12491 2000
"747" "Oxelösund" 0 10866 2000
"748" "Pajala" 0 7480 2000
"749" "Partille" 0 33124 2000
"750" "Perstorp" 0 6745 2000
"751" "Piteå" 2 40363 2000
"752" "Ragunda" 0 6313 2000
"753" "Robertsfors" 0 7307 2000
"754" "Ronneby" 0 28634 2000
"755" "Rättvik" 0 10847 2000
"756" "Sala" 0 21548 2000
"757" "Salem" 0 13766 2000
"758" "Sandviken" 0 37064 2000
"759" "Sigtuna" 0 35001 2000
"760" "Simrishamn" 0 19303 2000
"761" "Sjöbo" 1 16648 2000
"762" "Skara" 0 18305 2000
"763" "Skellefteå" 2 72476 2000
"764" "Skinnskatteberg" 0 4855 2000
"765" "Skurup" 0 13714 2000
"766" "Skövde" 2 49313 2000
"767" "Smedjebacken" 0 11598 2000
"768" "Sollefteå" 0 21978 2000
"769" "Sollentuna" 2 58048 2000
"770" "Solna" 0 56605 2000
"771" "Sorsele" 0 3195 2000
"772" "Sotenäs" 0 9621 2000
"773" "Staffanstorp" 0 19815 2000
"774" "Stenungsund" 0 20679 2000
"775" "Stockholm" 10 750348 2000
"776" "Storfors" 0 4725 2000
"777" "Storuman" 0 6934 2000
"778" "Strängnäs" 1 29610 2000
"779" "Strömstad" 0 11102 2000
"780" "Strömsund" 0 13938 2000
"781" "Sundbyberg" 0 33868 2000
"782" "Sundsvall" 0 93126 2000
"783" "Sunne" 0 13619 2000
"784" "Surahammar" 0 10340 2000
"785" "Svalöv" 0 12562 2000
"786" "Svedala" 1 17905 2000
"787" "Svenljunga" 0 10609 2000
"788" "Säffle" 0 16639 2000
"789" "Säter" 0 11259 2000
"790" "Sävsjö" 0 11049 2000
"791" "Söderhamn" 0 27675 2000
"792" "Söderköping" 0 13936 2000
"793" "Södertälje" 7 77882 2000
"794" "Sölvesborg" 0 16448 2000
"795" "Tanum" 0 12105 2000
"796" "Tibro" 0 10576 2000
"797" "Tidaholm" 0 12694 2000
"798" "Tierp" 0 19888 2000
"799" "Timrå" 0 17988 2000
"800" "Tingsryd" 0 13371 2000
"801" "Tjörn" 0 14733 2000
"802" "Tomelilla" 0 12372 2000
"803" "Torsby" 0 13725 2000
"804" "Torsås" 0 7468 2000
"805" "Tranemo" 0 12037 2000
"806" "Tranås" 0 17686 2000
"807" "Trelleborg" 0 38429 2000
"808" "Trollhättan" 0 52891 2000
"809" "Trosa" 0 10197 2000
"810" "Tyresö" 1 39071 2000
"811" "Täby" 0 60197 2000
"812" "Töreboda" 0 9642 2000
"813" "Uddevalla" 1 48971 2000
"814" "Ulricehamn" 0 22284 2000
"815" "Umeå" 5 104512 2000
"816" "Upplands-Bro" 2 20878 2000
"817" "Upplands Väsby" 1 37576 2000
"818" "Uppsala" 3 189569 2000
"819" "Uppvidinge" 0 9807 2000
"820" "Vadstena" 0 7668 2000
"821" "Vaggeryd" 0 12738 2000
"822" "Valdemarsvik" 0 8337 2000
"823" "Vallentuna" 0 25228 2000
"824" "Vansbro" 0 7291 2000
"825" "Vara" 0 16044 2000
"826" "Varberg" 0 52648 2000
"827" "Vaxholm" 0 9286 2000
"828" "Vellinge" 0 30516 2000
"829" "Vetlanda" 0 26624 2000
"830" "Vilhelmina" 0 7918 2000
"831" "Vimmerby" 0 15776 2000
"832" "Vindeln" 0 6074 2000
"833" "Vingåker" 0 9186 2000
"834" "Vårgårda" 0 10714 2000
"835" "Vänersborg" 0 36589 2000
"836" "Vännäs" 1 8532 2000
"837" "Värmdö" 0 31260 2000
"838" "Värnamo" 0 32256 2000
"839" "Västervik" 0 37433 2000
"840" "Västerås" 3 126328 2000
"841" "Växjö" 4 73901 2000
"842" "Ydre" 0 4131 2000
"843" "Ystad" 0 26182 2000
"844" "Åmål" 0 12840 2000
"845" "Ånge" 0 11234 2000
"846" "Åre" 0 9745 2000
"847" "Årjäng" 0 9790 2000
"848" "Åsele" 0 3624 2000
"849" "Åstorp" 1 12873 2000
"850" "Åtvidaberg" 0 11946 2000
"851" "Älmhult" 0 15403 2000
"852" "Älvdalen" 0 7718 2000
"853" "Älvkarleby" 0 8932 2000
"854" "Älvsbyn" 0 8947 2000
"855" "Ängelholm" 0 37312 2000
"856" "Öckerö" 0 11827 2000
"857" "Ödeshög" 1 5688 2000
"858" "Örebro" 3 124207 2000
"859" "Örkelljunga" 0 9428 2000
"860" "Örnsköldsvik" 0 55702 2000
"861" "Östersund" 0 58249 2000
"862" "Österåker" 2 34427 2000
"863" "Östhammar" 0 21733 2000
"864" "Östra Göinge" 0 14215 2000
"865" "Överkalix" 0 4206 2000
"866" "Övertorneå" 0 5602 2000
"867" "Ale" 1 25593 2001
"868" "Alingsås" 0 35257 2001
"869" "Alvesta" 0 18957 2001
"870" "Aneby" 0 6686 2001
"871" "Arboga" 0 13616 2001
"872" "Arjeplog" 0 3313 2001
"873" "Arvidsjaur" 0 7129 2001
"874" "Arvika" 0 26192 2001
"875" "Askersund" 0 11483 2001
"876" "Avesta" 1 22330 2001
"877" "Bengtsfors" 0 10685 2001
"878" "Berg" 0 8053 2001
"879" "Bjurholm" 0 2639 2001
"880" "Bjuv" 0 13659 2001
"881" "Boden" 0 28380 2001
"882" "Bollebygd" 1 7890 2001
"883" "Bollnäs" 0 26455 2001
"884" "Borgholm" 0 11228 2001
"885" "Borlänge" 0 46962 2001
"886" "Borås" 0 97347 2001
"887" "Botkyrka" 7 74151 2001
"888" "Boxholm" 0 5327 2001
"889" "Bromölla" 0 11992 2001
"890" "Bräcke" 0 7400 2001
"891" "Burlöv" 0 15264 2001
"892" "Båstad" 0 14011 2001
"893" "Dals-Ed" 0 5040 2001
"894" "Danderyd" 0 29632 2001
"895" "Degerfors" 0 10433 2001
"896" "Dorotea" 0 3294 2001
"897" "Eda" 0 8649 2001
"898" "Ekerö" 0 22626 2001
"899" "Eksjö" 0 16812 2001
"900" "Emmaboda" 0 9750 2001
"901" "Enköping" 0 37181 2001
"902" "Eskilstuna" 2 89135 2001
"903" "Eslöv" 0 28703 2001
"904" "Essunga" 0 5818 2001
"905" "Fagersta" 0 12270 2001
"906" "Falkenberg" 1 38720 2001
"907" "Falköping" 0 30921 2001
"908" "Falun" 0 54601 2001
"909" "Filipstad" 0 11389 2001
"910" "Finspång" 0 21279 2001
"911" "Flen" 0 16411 2001
"912" "Forshaga" 0 11485 2001
"913" "Färgelanda" 0 6956 2001
"914" "Gagnef" 0 10050 2001
"915" "Gislaved" 1 30208 2001
"916" "Gnesta" 1 9748 2001
"917" "Gnosjö" 0 10191 2001
"918" "Gotland" 0 57412 2001
"919" "Grums" 0 9418 2001
"920" "Grästorp" 0 5900 2001
"921" "Gullspång" 0 5866 2001
"922" "Gällivare" 0 19680 2001
"923" "Gävle" 3 91233 2001
"924" "Göteborg" 22 471267 2001
"925" "Götene" 0 12970 2001
"926" "Habo" 0 9471 2001
"927" "Hagfors" 1 13923 2001
"928" "Hallsberg" 0 15627 2001
"929" "Hallstahammar" 0 15052 2001
"930" "Halmstad" 3 85742 2001
"931" "Hammarö" 0 14121 2001
"932" "Haninge" 1 70432 2001
"933" "Haparanda" 0 10384 2001
"934" "Heby" 0 13739 2001
"935" "Hedemora" 0 15749 2001
"936" "Helsingborg" 1 118512 2001
"937" "Herrljunga" 0 9471 2001
"938" "Hjo" 0 8827 2001
"939" "Hofors" 0 10501 2001
"940" "Huddinge" 4 85700 2001
"941" "Hudiksvall" 2 37288 2001
"942" "Hultsfred" 0 14977 2001
"943" "Hylte" 0 10493 2001
"944" "Håbo" 0 17648 2001
"945" "Hällefors" 0 7879 2001
"946" "Härjedalen" 0 11327 2001
"947" "Härnösand" 0 25227 2001
"948" "Härryda" 0 30547 2001
"949" "Hässleholm" 0 48519 2001
"950" "Höganäs" 1 22733 2001
"951" "Högsby" 0 6349 2001
"952" "Hörby" 0 13774 2001
"953" "Höör" 0 14088 2001
"954" "Jokkmokk" 1 5935 2001
"955" "Järfälla" 4 61132 2001
"956" "Jönköping" 2 117896 2001
"957" "Kalix" 0 17847 2001
"958" "Kalmar" 2 59787 2001
"959" "Karlsborg" 0 7038 2001
"960" "Karlshamn" 0 30648 2001
"961" "Karlskoga" 0 30832 2001
"962" "Karlskrona" 0 60596 2001
"963" "Karlstad" 2 80748 2001
"964" "Katrineholm" 0 32391 2001
"965" "Kil" 0 11924 2001
"966" "Kinda" 0 10096 2001
"967" "Kiruna" 0 23849 2001
"968" "Klippan" 1 15488 2001
"969" "Kramfors" 0 20951 2001
"970" "Kristianstad" 0 74518 2001
"971" "Kristinehamn" 0 23969 2001
"972" "Krokom" 1 14047 2001
"973" "Kumla" 0 18935 2001
"974" "Kungsbacka" 3 65877 2001
"975" "Kungsör" 0 8185 2001
"976" "Kungälv" 1 37601 2001
"977" "Kävlinge" 0 24958 2001
"978" "Köping" 2 24750 2001
"979" "Laholm" 0 22749 2001
"980" "Landskrona" 0 38297 2001
"981" "Laxå" 0 6577 2001
"982" "Lekeberg" 0 7033 2001
"983" "Leksand" 0 15313 2001
"984" "Lerum" 1 35322 2001
"985" "Lessebo" 0 8386 2001
"986" "Lidingö" 0 40895 2001
"987" "Lidköping" 0 36808 2001
"988" "Lilla Edet" 0 12912 2001
"989" "Lindesberg" 0 23473 2001
"990" "Linköping" 3 134039 2001
"991" "Ljungby" 0 27055 2001
"992" "Ljusdal" 0 19858 2001
"993" "Ljusnarsberg" 0 5536 2001
"994" "Lomma" 0 18129 2001
"995" "Ludvika" 0 26131 2001
"996" "Luleå" 2 71952 2001
"997" "Lund" 2 99622 2001
"998" "Lycksele" 0 12988 2001
"999" "Lysekil" 0 14792 2001
"1000" "Malmö" 8 262397 2001
"1001" "Malung-Sälen" 0 10640 2001
"1002" "Malå" 0 3579 2001
"1003" "Mariestad" 0 23725 2001
"1004" "Mark" 0 32954 2001
"1005" "Markaryd" 0 9716 2001
"1006" "Mellerud" 0 9781 2001
"1007" "Mjölby" 1 25211 2001
"1008" "Mora" 0 20014 2001
"1009" "Motala" 1 42168 2001
"1010" "Mullsjö" 1 7118 2001
"1011" "Munkedal" 0 10504 2001
"1012" "Munkfors" 0 4138 2001
"1013" "Mölndal" 0 56743 2001
"1014" "Mönsterås" 0 13240 2001
"1015" "Mörbylånga" 0 13410 2001
"1016" "Nacka" 0 75741 2001
"1017" "Nora" 0 10456 2001
"1018" "Norberg" 0 5928 2001
"1019" "Nordanstig" 0 10097 2001
"1020" "Nordmaling" 0 7660 2001
"1021" "Norrköping" 5 122896 2001
"1022" "Norrtälje" 0 53286 2001
"1023" "Norsjö" 0 4642 2001
"1024" "Nybro" 1 19782 2001
"1025" "Nykvarn" 0 8090 2001
"1026" "Nyköping" 1 49273 2001
"1027" "Nynäshamn" 0 24332 2001
"1028" "Nässjö" 1 29360 2001
"1029" "Ockelbo" 1 6137 2001
"1030" "Olofström" 0 13803 2001
"1031" "Orsa" 0 6979 2001
"1032" "Orust" 0 15087 2001
"1033" "Osby" 0 12735 2001
"1034" "Oskarshamn" 0 26213 2001
"1035" "Ovanåker" 0 12333 2001
"1036" "Oxelösund" 0 10983 2001
"1037" "Pajala" 0 7319 2001
"1038" "Partille" 2 33142 2001
"1039" "Perstorp" 1 6697 2001
"1040" "Piteå" 0 40451 2001
"1041" "Ragunda" 0 6148 2001
"1042" "Robertsfors" 0 7274 2001
"1043" "Ronneby" 0 28574 2001
"1044" "Rättvik" 0 10856 2001
"1045" "Sala" 0 21535 2001
"1046" "Salem" 0 13839 2001
"1047" "Sandviken" 1 36805 2001
"1048" "Sigtuna" 0 35518 2001
"1049" "Simrishamn" 0 19381 2001
"1050" "Sjöbo" 0 16781 2001
"1051" "Skara" 0 18324 2001
"1052" "Skellefteå" 1 72035 2001
"1053" "Skinnskatteberg" 0 4837 2001
"1054" "Skurup" 0 13873 2001
"1055" "Skövde" 1 49083 2001
"1056" "Smedjebacken" 1 11357 2001
"1057" "Sollefteå" 1 21624 2001
"1058" "Sollentuna" 1 58266 2001
"1059" "Solna" 2 56953 2001
"1060" "Sorsele" 0 3132 2001
"1061" "Sotenäs" 0 9584 2001
"1062" "Staffanstorp" 0 19967 2001
"1063" "Stenungsund" 0 21175 2001
"1064" "Stockholm" 6 754948 2001
"1065" "Storfors" 0 4643 2001
"1066" "Storuman" 0 6788 2001
"1067" "Strängnäs" 3 29766 2001
"1068" "Strömstad" 0 11221 2001
"1069" "Strömsund" 0 13643 2001
"1070" "Sundbyberg" 0 33967 2001
"1071" "Sundsvall" 1 93125 2001
"1072" "Sunne" 0 13551 2001
"1073" "Surahammar" 0 10246 2001
"1074" "Svalöv" 1 12553 2001
"1075" "Svedala" 0 17938 2001
"1076" "Svenljunga" 0 10536 2001
"1077" "Säffle" 0 16428 2001
"1078" "Säter" 0 11157 2001
"1079" "Sävsjö" 0 10986 2001
"1080" "Söderhamn" 0 27464 2001
"1081" "Söderköping" 1 13932 2001
"1082" "Södertälje" 5 78794 2001
"1083" "Sölvesborg" 0 16396 2001
"1084" "Tanum" 0 12116 2001
"1085" "Tibro" 0 10627 2001
"1086" "Tidaholm" 0 12620 2001
"1087" "Tierp" 0 19891 2001
"1088" "Timrå" 0 17790 2001
"1089" "Tingsryd" 0 13258 2001
"1090" "Tjörn" 0 14797 2001
"1091" "Tomelilla" 0 12432 2001
"1092" "Torsby" 0 13552 2001
"1093" "Torsås" 0 7361 2001
"1094" "Tranemo" 0 12016 2001
"1095" "Tranås" 1 17644 2001
"1096" "Trelleborg" 1 38576 2001
"1097" "Trollhättan" 1 52823 2001
"1098" "Trosa" 1 10357 2001
"1099" "Tyresö" 0 39434 2001
"1100" "Täby" 1 60229 2001
"1101" "Töreboda" 0 9490 2001
"1102" "Uddevalla" 0 49255 2001
"1103" "Ulricehamn" 0 22257 2001
"1104" "Umeå" 3 105006 2001
"1105" "Upplands-Bro" 0 21076 2001
"1106" "Upplands Väsby" 2 37524 2001
"1107" "Uppsala" 1 191110 2001
"1108" "Uppvidinge" 1 9686 2001
"1109" "Vadstena" 0 7628 2001
"1110" "Vaggeryd" 0 12655 2001
"1111" "Valdemarsvik" 0 8224 2001
"1112" "Vallentuna" 1 25643 2001
"1113" "Vansbro" 0 7219 2001
"1114" "Vara" 0 16050 2001
"1115" "Varberg" 0 53072 2001
"1116" "Vaxholm" 0 9470 2001
"1117" "Vellinge" 0 30782 2001
"1118" "Vetlanda" 0 26522 2001
"1119" "Vilhelmina" 0 7730 2001
"1120" "Vimmerby" 0 15644 2001
"1121" "Vindeln" 0 6039 2001
"1122" "Vingåker" 0 9156 2001
"1123" "Vårgårda" 0 10677 2001
"1124" "Vänersborg" 0 36795 2001
"1125" "Vännäs" 0 8449 2001
"1126" "Värmdö" 0 32096 2001
"1127" "Värnamo" 0 32275 2001
"1128" "Västervik" 1 36956 2001
"1129" "Västerås" 3 127799 2001
"1130" "Växjö" 7 74082 2001
"1131" "Ydre" 0 4048 2001
"1132" "Ystad" 0 26235 2001
"1133" "Åmål" 0 12770 2001
"1134" "Ånge" 0 10997 2001
"1135" "Åre" 0 9607 2001
"1136" "Årjäng" 0 9803 2001
"1137" "Åsele" 0 3563 2001
"1138" "Åstorp" 1 12930 2001
"1139" "Åtvidaberg" 0 11894 2001
"1140" "Älmhult" 0 15442 2001
"1141" "Älvdalen" 0 7652 2001
"1142" "Älvkarleby" 0 8955 2001
"1143" "Älvsbyn" 0 8892 2001
"1144" "Ängelholm" 1 37505 2001
"1145" "Öckerö" 1 11877 2001
"1146" "Ödeshög" 0 5621 2001
"1147" "Örebro" 2 124873 2001
"1148" "Örkelljunga" 0 9414 2001
"1149" "Örnsköldsvik" 1 55364 2001
"1150" "Östersund" 0 58361 2001
"1151" "Österåker" 1 35108 2001
"1152" "Östhammar" 0 21842 2001
"1153" "Östra Göinge" 0 14108 2001
"1154" "Överkalix" 0 4118 2001
"1155" "Övertorneå" 0 5484 2001
"1156" "Ale" 0 25835 2002
"1157" "Alingsås" 0 35327 2002
"1158" "Alvesta" 0 18930 2002
"1159" "Aneby" 1 6631 2002
"1160" "Arboga" 0 13574 2002
"1161" "Arjeplog" 0 3291 2002
"1162" "Arvidsjaur" 0 7017 2002
"1163" "Arvika" 0 26262 2002
"1164" "Askersund" 0 11449 2002
"1165" "Avesta" 0 22296 2002
"1166" "Bengtsfors" 0 10516 2002
"1167" "Berg" 0 7949 2002
"1168" "Bjurholm" 0 2608 2002
"1169" "Bjuv" 2 13674 2002
"1170" "Boden" 0 28268 2002
"1171" "Bollebygd" 0 7831 2002
"1172" "Bollnäs" 0 26210 2002
"1173" "Borgholm" 0 11162 2002
"1174" "Borlänge" 0 47049 2002
"1175" "Borås" 1 98150 2002
"1176" "Botkyrka" 3 75216 2002
"1177" "Boxholm" 1 5291 2002
"1178" "Bromölla" 0 12022 2002
"1179" "Bräcke" 0 7406 2002
"1180" "Burlöv" 0 15326 2002
"1181" "Båstad" 0 14009 2002
"1182" "Dals-Ed" 0 5044 2002
"1183" "Danderyd" 2 29755 2002
"1184" "Degerfors" 1 10306 2002
"1185" "Dorotea" 0 3247 2002
"1186" "Eda" 0 8670 2002
"1187" "Ekerö" 4 22936 2002
"1188" "Eksjö" 0 16761 2002
"1189" "Emmaboda" 0 9690 2002
"1190" "Enköping" 1 37647 2002
"1191" "Eskilstuna" 8 90089 2002
"1192" "Eslöv" 0 28985 2002
"1193" "Essunga" 0 5757 2002
"1194" "Fagersta" 0 12325 2002
"1195" "Falkenberg" 0 38896 2002
"1196" "Falköping" 0 30896 2002
"1197" "Falun" 0 54841 2002
"1198" "Filipstad" 1 11178 2002
"1199" "Finspång" 3 21208 2002
"1200" "Flen" 1 16520 2002
"1201" "Forshaga" 1 11474 2002
"1202" "Färgelanda" 2 6939 2002
"1203" "Gagnef" 0 10008 2002
"1204" "Gislaved" 1 29976 2002
"1205" "Gnesta" 0 9813 2002
"1206" "Gnosjö" 0 9997 2002
"1207" "Gotland" 0 57381 2002
"1208" "Grums" 0 9312 2002
"1209" "Grästorp" 2 5848 2002
"1210" "Gullspång" 0 5765 2002
"1211" "Gällivare" 1 19420 2002
"1212" "Gävle" 1 91276 2002
"1213" "Göteborg" 15 474921 2002
"1214" "Götene" 1 12983 2002
"1215" "Habo" 0 9584 2002
"1216" "Hagfors" 0 13797 2002
"1217" "Hallsberg" 0 15651 2002
"1218" "Hallstahammar" 0 14986 2002
"1219" "Halmstad" 1 86585 2002
"1220" "Hammarö" 0 14237 2002
"1221" "Haninge" 1 70902 2002
"1222" "Haparanda" 0 10334 2002
"1223" "Heby" 0 13725 2002
"1224" "Hedemora" 0 15584 2002
"1225" "Helsingborg" 1 119406 2002
"1226" "Herrljunga" 0 9486 2002
"1227" "Hjo" 0 8845 2002
"1228" "Hofors" 0 10372 2002
"1229" "Huddinge" 5 86457 2002
"1230" "Hudiksvall" 1 37048 2002
"1231" "Hultsfred" 0 14893 2002
"1232" "Hylte" 0 10401 2002
"1233" "Håbo" 0 17864 2002
"1234" "Hällefors" 0 7794 2002
"1235" "Härjedalen" 0 11289 2002
"1236" "Härnösand" 1 25193 2002
"1237" "Härryda" 0 30844 2002
"1238" "Hässleholm" 0 48536 2002
"1239" "Höganäs" 0 22790 2002
"1240" "Högsby" 0 6300 2002
"1241" "Hörby" 0 13949 2002
"1242" "Höör" 0 14169 2002
"1243" "Jokkmokk" 0 5782 2002
"1244" "Järfälla" 1 61290 2002
"1245" "Jönköping" 4 118581 2002
"1246" "Kalix" 0 17805 2002
"1247" "Kalmar" 0 60066 2002
"1248" "Karlsborg" 0 6967 2002
"1249" "Karlshamn" 0 30739 2002
"1250" "Karlskoga" 1 30600 2002
"1251" "Karlskrona" 0 60676 2002
"1252" "Karlstad" 1 80934 2002
"1253" "Katrineholm" 0 32381 2002
"1254" "Kil" 0 11892 2002
"1255" "Kinda" 0 10014 2002
"1256" "Kiruna" 3 23555 2002
"1257" "Klippan" 0 15745 2002
"1258" "Kramfors" 0 20711 2002
"1259" "Kristianstad" 0 74951 2002
"1260" "Kristinehamn" 1 23963 2002
"1261" "Krokom" 0 14005 2002
"1262" "Kumla" 0 19105 2002
"1263" "Kungsbacka" 0 66573 2002
"1264" "Kungsör" 0 8222 2002
"1265" "Kungälv" 1 37912 2002
"1266" "Kävlinge" 0 25191 2002
"1267" "Köping" 0 24647 2002
"1268" "Laholm" 0 22750 2002
"1269" "Landskrona" 0 38475 2002
"1270" "Laxå" 0 6471 2002
"1271" "Lekeberg" 0 7027 2002
"1272" "Leksand" 0 15301 2002
"1273" "Lerum" 1 35558 2002
"1274" "Lessebo" 0 8255 2002
"1275" "Lidingö" 0 41192 2002
"1276" "Lidköping" 0 36941 2002
"1277" "Lilla Edet" 0 13010 2002
"1278" "Lindesberg" 0 23492 2002
"1279" "Linköping" 0 135066 2002
"1280" "Ljungby" 0 26943 2002
"1281" "Ljusdal" 0 19776 2002
"1282" "Ljusnarsberg" 0 5482 2002
"1283" "Lomma" 0 18167 2002
"1284" "Ludvika" 0 25975 2002
"1285" "Luleå" 2 72139 2002
"1286" "Lund" 0 100402 2002
"1287" "Lycksele" 0 12884 2002
"1288" "Lysekil" 0 14801 2002
"1289" "Malmö" 11 265481 2002
"1290" "Malung-Sälen" 0 10593 2002
"1291" "Malå" 0 3553 2002
"1292" "Mariestad" 1 23743 2002
"1293" "Mark" 0 33015 2002
"1294" "Markaryd" 1 9615 2002
"1295" "Mellerud" 0 9807 2002
"1296" "Mjölby" 1 25153 2002
"1297" "Mora" 1 20024 2002
"1298" "Motala" 0 42078 2002
"1299" "Mullsjö" 0 7124 2002
"1300" "Munkedal" 0 10434 2002
"1301" "Munkfors" 0 4086 2002
"1302" "Mölndal" 0 57079 2002
"1303" "Mönsterås" 0 13220 2002
"1304" "Mörbylånga" 0 13430 2002
"1305" "Nacka" 0 76624 2002
"1306" "Nora" 0 10515 2002
"1307" "Norberg" 0 5876 2002
"1308" "Nordanstig" 0 10021 2002
"1309" "Nordmaling" 0 7573 2002
"1310" "Norrköping" 3 123303 2002
"1311" "Norrtälje" 1 53702 2002
"1312" "Norsjö" 0 4541 2002
"1313" "Nybro" 0 19871 2002
"1314" "Nykvarn" 0 8204 2002
"1315" "Nyköping" 0 49310 2002
"1316" "Nynäshamn" 1 24528 2002
"1317" "Nässjö" 0 29341 2002
"1318" "Ockelbo" 0 6101 2002
"1319" "Olofström" 0 13637 2002
"1320" "Orsa" 0 7015 2002
"1321" "Orust" 0 15113 2002
"1322" "Osby" 0 12637 2002
"1323" "Oskarshamn" 0 26161 2002
"1324" "Ovanåker" 0 12193 2002
"1325" "Oxelösund" 0 11183 2002
"1326" "Pajala" 0 7206 2002
"1327" "Partille" 0 33088 2002
"1328" "Perstorp" 0 6789 2002
"1329" "Piteå" 0 40531 2002
"1330" "Ragunda" 0 6079 2002
"1331" "Robertsfors" 1 7168 2002
"1332" "Ronneby" 0 28472 2002
"1333" "Rättvik" 0 10898 2002
"1334" "Sala" 0 21663 2002
"1335" "Salem" 0 13875 2002
"1336" "Sandviken" 0 36765 2002
"1337" "Sigtuna" 0 35771 2002
"1338" "Simrishamn" 1 19406 2002
"1339" "Sjöbo" 0 17027 2002
"1340" "Skara" 0 18311 2002
"1341" "Skellefteå" 0 71813 2002
"1342" "Skinnskatteberg" 0 4785 2002
"1343" "Skurup" 0 13949 2002
"1344" "Skövde" 0 49405 2002
"1345" "Smedjebacken" 0 11157 2002
"1346" "Sollefteå" 1 21384 2002
"1347" "Sollentuna" 2 58515 2002
"1348" "Solna" 0 57585 2002
"1349" "Sorsele" 0 3046 2002
"1350" "Sotenäs" 0 9467 2002
"1351" "Staffanstorp" 0 20110 2002
"1352" "Stenungsund" 0 21755 2002
"1353" "Stockholm" 5 758148 2002
"1354" "Storfors" 0 4605 2002
"1355" "Storuman" 0 6679 2002
"1356" "Strängnäs" 1 30015 2002
"1357" "Strömstad" 0 11218 2002
"1358" "Strömsund" 0 13371 2002
"1359" "Sundbyberg" 0 33797 2002
"1360" "Sundsvall" 0 93252 2002
"1361" "Sunne" 0 13573 2002
"1362" "Surahammar" 0 10207 2002
"1363" "Svalöv" 0 12705 2002
"1364" "Svedala" 0 18151 2002
"1365" "Svenljunga" 0 10529 2002
"1366" "Säffle" 0 16289 2002
"1367" "Säter" 0 11043 2002
"1368" "Sävsjö" 0 10975 2002
"1369" "Söderhamn" 1 27250 2002
"1370" "Söderköping" 0 14009 2002
"1371" "Södertälje" 0 79613 2002
"1372" "Sölvesborg" 0 16351 2002
"1373" "Tanum" 0 12210 2002
"1374" "Tibro" 0 10624 2002
"1375" "Tidaholm" 0 12585 2002
"1376" "Tierp" 0 20088 2002
"1377" "Timrå" 0 17784 2002
"1378" "Tingsryd" 0 13175 2002
"1379" "Tjörn" 0 14826 2002
"1380" "Tomelilla" 0 12447 2002
"1381" "Torsby" 0 13404 2002
"1382" "Torsås" 0 7293 2002
"1383" "Tranemo" 0 11988 2002
"1384" "Tranås" 0 17718 2002
"1385" "Trelleborg" 0 38759 2002
"1386" "Trollhättan" 3 52937 2002
"1387" "Trosa" 0 10514 2002
"1388" "Tyresö" 0 39720 2002
"1389" "Täby" 0 60198 2002
"1390" "Töreboda" 0 9426 2002
"1391" "Uddevalla" 0 49683 2002
"1392" "Ulricehamn" 0 22299 2002
"1393" "Umeå" 0 106525 2002
"1394" "Upplands-Bro" 0 21162 2002
"1395" "Upplands Väsby" 1 37444 2002
"1396" "Uppsala" 2 179673 2002
"1397" "Uppvidinge" 0 9580 2002
"1398" "Vadstena" 0 7629 2002
"1399" "Vaggeryd" 1 12603 2002
"1400" "Valdemarsvik" 0 8230 2002
"1401" "Vallentuna" 3 25905 2002
"1402" "Vansbro" 0 7235 2002
"1403" "Vara" 1 16009 2002
"1404" "Varberg" 0 53346 2002
"1405" "Vaxholm" 1 9631 2002
"1406" "Vellinge" 0 31087 2002
"1407" "Vetlanda" 0 26428 2002
"1408" "Vilhelmina" 0 7655 2002
"1409" "Vimmerby" 0 15628 2002
"1410" "Vindeln" 0 5960 2002
"1411" "Vingåker" 0 9181 2002
"1412" "Vårgårda" 0 10668 2002
"1413" "Vänersborg" 1 37025 2002
"1414" "Vännäs" 0 8479 2002
"1415" "Värmdö" 0 32664 2002
"1416" "Värnamo" 1 32252 2002
"1417" "Västervik" 0 36913 2002
"1418" "Västerås" 1 128902 2002
"1419" "Växjö" 6 75036 2002
"1420" "Ydre" 0 4004 2002
"1421" "Ystad" 0 26383 2002
"1422" "Åmål" 0 12829 2002
"1423" "Ånge" 0 10948 2002
"1424" "Åre" 0 9692 2002
"1425" "Årjäng" 0 9743 2002
"1426" "Åsele" 0 3499 2002
"1427" "Åstorp" 0 13150 2002
"1428" "Åtvidaberg" 0 11887 2002
"1429" "Älmhult" 0 15444 2002
"1430" "Älvdalen" 0 7617 2002
"1431" "Älvkarleby" 0 8970 2002
"1432" "Älvsbyn" 0 8835 2002
"1433" "Ängelholm" 1 37706 2002
"1434" "Öckerö" 1 11981 2002
"1435" "Ödeshög" 0 5566 2002
"1436" "Örebro" 3 125520 2002
"1437" "Örkelljunga" 0 9419 2002
"1438" "Örnsköldsvik" 0 55047 2002
"1439" "Östersund" 1 58156 2002
"1440" "Österåker" 1 35633 2002
"1441" "Östhammar" 1 21827 2002
