code,name,medianIncome,youthUnemployment2010,youthUnemployment2013,unemployment2010,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,satisfactionInfluence,satisfactionGeneral,satisfactionElderlyCare,foreignBorn,reportedCrimeVandalism,youngUnskilled,latitude,longitude,population,populationShare65plus,municipalityType,municipalityTypeBroad,refugees,rentalApartments,governing,fokusRanking,foretagsklimatRanking,cars,motorcycles,tractors,snowmobiles
0683,Värnamo,186539,10.9,9.3,7.9,6.5,-1.4,1015,-1.3,31.3,472,80.5,NA,NA,NA,10.5,9.1,8.8,57.183161,14.047821,35867,26.5,Manufacturing municipalities,Rural,14.6,157.1,Conservative,79,44,495.748180778989,32.258064516129,51.5236847241197,0.724900326205147
1267,Höör,205517,8.1,8.9,5.7,5.4,-0.3,953,4,39.2,531,71.3,NA,NA,NA,13.1,12,10.4,55.934859,13.53959,15637,19.9,Suburbs to larger towns,City,3.7,84.2,Conservative,102,150,531.559762102705,47.0678518897487,51.4165121186928,0.511607085758138
1864,Ljusnarsberg,167961,12,10.5,9.9,8.8,-1.1,1251,-5,21.9,4487,72.1,NA,NA,NA,16.6,10.7,16,59.883333,14.983333,4875,28.3,Manufacturing municipalities,Rural,9.4,140.3,Left-wing,287,106,563.897435897436,38.7692307692308,50.0512820512821,27.6923076923077
1492,Åmål,208448,14,15.4,11.9,10.3,-1.6,476,2.3,32.9,638,70.4,39,53,53,19.9,9.4,10.2,59.051117,12.697732,15759,21,Municipalities in densely populated regions,Rural,20.4,166.7,Mixed,226,261,400.279205533346,26.2707024557396,49.432070562853,1.26911606066375
1960,Kungsör,197145,11.9,9.9,9.2,8.8,-0.399999999999999,636,0.1,26.5,335,76,34,47,61,15.5,12.6,13.4,59.422397,16.097786,8175,23.5,Commuter municipalities,Rural,23.6,169.7,Mixed,249,251,548.501529051988,51.0091743119266,48.8073394495413,3.91437308868502
1285,Eslöv,203186,7.7,9.8,6.4,6.9,0.5,962,2.6,34.1,568,80.8,NA,NA,NA,19,13.8,11.2,55.83912,13.303391,31920,18.3,Suburbs to larger towns,City,15.1,129.7,Mixed,58,156,497.399749373434,40.2882205513785,48.7781954887218,0.37593984962406
0562,Finspång,196215,10.5,13.3,7.1,8.7,1.6,708,1.5,28.6,867,79.9,NA,NA,NA,14.1,9.5,10.9,58.707488,15.773595,20903,24,Manufacturing municipalities,Rural,20.1,178.2,Mixed,162,137,517.533368416017,43.0081806439267,46.8353824809836,3.97072190594651
0642,Mullsjö,203738,10.1,8.5,6.7,5.6,-1.1,753,-0.7,30,1559,87.5,NA,NA,NA,10.8,6.2,10.7,57.916599,13.877317,7039,22,Commuter municipalities,Rural,8.4,123.1,Conservative,199,19,511.15215229436,39.778377610456,46.5975280579628,1.9889188805228
2084,Avesta,196154,9.9,11.3,7.6,7.4,-0.199999999999999,1107,-1.6,25,237,79.2,42,53,47,12.1,12.9,10.4,60.14533,16.17384,21582,24.6,Manufacturing municipalities,Rural,31.7,161.7,Left-wing,123,181,567.139282735613,50.9220646835326,45.7325549068668,23.3064590862756
0882,Oskarshamn,206153,12.4,12.9,6.4,6.5,0.0999999999999996,706,-0.4,29.9,412,84.4,NA,NA,NA,13.9,7.6,8.6,57.265699,16.447398,26212,23.4,Manufacturing municipalities,Rural,11,169.9,Left-wing,108,227,534.86952540821,40.2487410346406,45.5516557301999,1.44971768655578
2510,Jokkmokk,180599,13.8,13.5,10.1,8.2,-1.9,770,-4.5,31.8,2386,74.4,33,45,49,10.1,9.2,7.9,66.606961,19.822921,5066,26.5,Tourism municipalities,Rural,32.1,171.1,Mixed,207,229,593.170153967627,24.0821160679037,45.00592183182,379.194630872483
1781,Kristinehamn,180847,13.3,13.5,10.4,10.3,-0.0999999999999996,869,0,30.1,753,81.7,NA,NA,NA,12.2,12.2,11.9,59.310068,14.108919,23949,24.9,Municipalities in densely populated regions,Rural,20.9,158,Mixed,172,76,509.123554219383,40.9620443442315,44.051943713725,3.75798571965427
1962,Norberg,189217,10.9,12.8,8.1,7.7,-0.399999999999999,1355,-2.5,23.4,2345,78.9,41,44,50,11.6,13.2,12.3,60.065042,15.923796,5608,25.7,Commuter municipalities,Rural,23.1,182.6,Left-wing,241,283,551.176890156919,44.7574893009986,44.0442225392297,19.0798858773181
1983,Köping,191269,16,12.9,11.1,9,-2.1,1169,2,26.3,542,82.9,NA,NA,NA,20.1,9.8,11.2,59.512096,15.99451,25237,22.8,Manufacturing municipalities,Rural,31.8,201.1,Left-wing,113,200,511.431628164996,34.9090620913738,43.9037920513532,4.39830407734675
